"","AREA","AREA_TITLE","AREA_TYPE","PRIM_STATE","NAICS","NAICS_TITLE","I_GROUP","OWN_CODE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","JOBS_1000","LOC_QUOTIENT","PCT_TOTAL","PCT_RPT","H_MEAN","A_MEAN","MEAN_PRSE","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","ANNUAL","HOURLY"
"925","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9020","Data Entry and Information Processing Workers","broad",189100,1.5,NA,NA,NA,NA,"18.07","37590","0.4","12.5","14.26","17.72","22.11","23.49","26000","29650","36850","45980","48870",NA,NA
"926","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9021","Data Entry Keyers","detailed",147170,1.7,NA,NA,NA,NA,"17.28","35940","0.4","11.79","14.09","17.13","18.86","22.94","24510","29310","35630","39230","47700",NA,NA
"927","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9022","Word Processors and Typists","detailed",41930,2.4,NA,NA,NA,NA,"20.85","43370","0.6","14.32","17.84","21.17","23.05","29","29780","37110","44030","47950","60320",NA,NA
"928","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9030","Desktop Publishers","broad",7600,13.6,NA,NA,NA,NA,"24.49","50930","6.9","13.35","14.85","22.55","30.66","38.28","27770","30880","46910","63760","79630",NA,NA
"929","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9031","Desktop Publishers","detailed",7600,13.6,NA,NA,NA,NA,"24.49","50930","6.9","13.35","14.85","22.55","30.66","38.28","27770","30880","46910","63760","79630",NA,NA
"930","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9040","Insurance Claims and Policy Processing Clerks","broad",218300,1.5,NA,NA,NA,NA,"22.02","45790","0.5","14.43","17.89","21.89","23.49","29.52","30010","37200","45520","48860","61400",NA,NA
"931","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9041","Insurance Claims and Policy Processing Clerks","detailed",218300,1.5,NA,NA,NA,NA,"22.02","45790","0.5","14.43","17.89","21.89","23.49","29.52","30010","37200","45520","48860","61400",NA,NA
"932","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9050","Mail Clerks and Mail Machine Operators, Except Postal Service","broad",69400,2.6,NA,NA,NA,NA,"16.54","34390","0.5","11.27","13.94","15.65","18.03","22.6","23430","28990","32550","37500","47000",NA,NA
"933","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","detailed",69400,2.6,NA,NA,NA,NA,"16.54","34390","0.5","11.27","13.94","15.65","18.03","22.6","23430","28990","32550","37500","47000",NA,NA
"934","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9060","Office Clerks, General","broad",2578180,0.4,NA,NA,NA,NA,"18.75","38990","0.1","11.3","14.14","17.809999999999999","22.55","28.31","23500","29410","37030","46900","58870",NA,NA
"935","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9061","Office Clerks, General","detailed",2578180,0.4,NA,NA,NA,NA,"18.75","38990","0.1","11.3","14.14","17.809999999999999","22.55","28.31","23500","29410","37030","46900","58870",NA,NA
"936","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9070","Office Machine Operators, Except Computer","broad",32920,3.4,NA,NA,NA,NA,"17.84","37110","0.6","12.5","14.34","17.61","19.920000000000002","23.32","26000","29820","36630","41420","48500",NA,NA
"937","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9071","Office Machine Operators, Except Computer","detailed",32920,3.4,NA,NA,NA,NA,"17.84","37110","0.6","12.5","14.34","17.61","19.920000000000002","23.32","26000","29820","36630","41420","48500",NA,NA
"938","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9080","Proofreaders and Copy Markers","broad",5340,6.8,NA,NA,NA,NA,"22.12","46010","2.1","14","16.48","21.12","27.53","29.93","29120","34270","43940","57260","62260",NA,NA
"939","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9081","Proofreaders and Copy Markers","detailed",5340,6.8,NA,NA,NA,NA,"22.12","46010","2.1","14","16.48","21.12","27.53","29.93","29120","34270","43940","57260","62260",NA,NA
"940","99","U.S.","1","US","000000","Cross-industry","cross-industry","1235","43-9110","Statistical Assistants","broad",6190,3.2,NA,NA,NA,NA,"25.68","53420","1.5","16.66","18.43","23.16","29.89","38.17","34650","38320","48160","62170","79390",NA,NA
