"keyword","sumFreq","numWords"
"CITY",4,1
"CLUSTERING",4,1
"CODE TO",4,2
"COLLABORATIVE",4,1
"COMMITMENT",4,1
"COMMUNICATION AND",4,2
"COMMUNICATIONS",4,1
"COMPANY IS",4,2
"COMPREHENSIVE",4,1
"COMPUTER SCIENCE ENGINEERING",4,3
"CONCEPTS",4,1
"CONNECTED",4,1
"CONSIDERED",4,1
"CONTENT MEDICAL DENTAL VISION",4,4
"CORE",4,1
"CUSTOM",4,1
"DAILY",4,1
"DATA DRIVEN",4,2
"DATA FOR",4,2
"DATA FROM",4,2
"DATA IN",4,2
"DEDICATED",4,1
"DEMONSTRATED EXPERIENCE WITH",4,3
"DENTAL VISION",4,2
"DEPARTMENT",4,1
"DEPENDING",4,1
"DEVELOP AND",4,2
"DIFFERENT",4,1
"DIRECT",4,1
"DISABILITY INSURANCE",4,2
"DISABILITY INSURANCE 401K",4,3
"DISCOUNT",4,1
"DISCOUNT MONTHLY CONTRIBUTION",4,3
"DISPARATE",4,1
"DISTURBING CONTENT MEDICAL DENTAL VISION",4,5
"DYNAMIC",4,1
"EARTH",4,1
"ECONOMETRICS",4,1
"EFFECTIVE",4,1
"EFFICIENCY",4,1
"EFFORTS",4,1
"ELIGIBLE FOR",4,2
"EMPLOYEE DISCOUNT MONTHLY CONTRIBUTION",4,4
"ENGINEERING OR",4,2
"ENHANCE",4,1
"EVERY",4,1
"EVERYONE",4,1
"EXCELLENCE",4,1
"EXISTING",4,1
"EXPAND",4,1
"EXPERIENCE OR",4,2
"EXPERIENCE WITH A",4,3
"EXPERIENCE WITH DATA",4,3
"EXPERIMENTATION",4,1
"EXPERIMENTS",4,1
"FACTORY",4,1
"FAMILIAR",4,1
"FAMILIAR WITH",4,2
"FAMILY",4,1
"FASTPACED",4,1
"FEATURE",4,1
"FINANCIAL",4,1
"FIRST",4,1
"FOCUSED",4,1
"FOLLOWING",4,1
"FOR MORE",4,2
"FOR THE",4,2
"FROM ALL",4,2
"FROM THE DATA",4,3
"FUNCTIONAL",4,1
"FUTURE",4,1
"GENDER IDENTITY",4,2
"GETS",4,1
"GOAL",4,1
"GOALS",4,1
"GROUP",4,1
"HAVE A",4,2
"HERSHEY COMPANY IS",4,3
"IDENTITY",4,1
"IMPACT OF",4,2
"IN ADDITION",4,2
"INFLUENCE",4,1
